Année;Mois;Jour;CPAM;Age;Sexe;Mode;Verbatim
2023;12;1;72;52;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;Reçu le message du 27 qui stipulé le mauvais format de ma photo
2023;12;1;72;52;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;J reçu le message qui stipule que mon dossier est bloqué suite à un mauvais format de la photos d¿identité 
2023;12;1;81;21;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;Je n'ai jamais reçu le formulaire dont le conseiller parlais alors que mon adresse s'est bien valide et cela fait au moins 3 ans que c'est la même chose impossible de recevoir un formulaire ou une carte vitale 
2023;12;1;131;66;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;je n'ai toujours pas reçu le bon de vaccination
2023;12;1;131;58;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;Je trouve le procédé totalement ridicule étant donné que je suis passée par l'application Amélie pour vous communiquer mes coordonnées bancaires donc ceci est bien sécurisé
2023;12;1;131;56;F;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;Les arrêts maladie sont bien enregistrés et les documents recus
2023;12;1;131;40;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;Le système est très mal fait. J¿ai posé ma question alors que le paiement n¿était pas encore affiché. Puis on me dit qu¿il faudrait que je regarde d¿abord dans mes paiements. Aujourd¿hui, le paiement apparaît soudainement.
2023;12;1;131;65;F;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;vous me reglamee une feille de soins deja envoye poste a la boite au letre de la cpam de aubagne 13400  le cardiologue ete esterieur a l hopital mais ces hopital qui long appele sans cette escamin ont ne hopere pas  imposible d avoir un duplicata
2023;12;1;161;63;F;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;demande traitée incomplète.
2023;12;1;181;31;F;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;C'est facile de répondre le 30.11 à un message du 12.11 que le paiement d'un arrêt du 28.08 a enfin été fait le 22.11. Rien ne vous dérange dans ce dossier même pas le fait de m'avoir laissé sans ressource pendant plus de 2 mois 1/2. HONTEUX
2023;12;1;221;47;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;le lien que lon me donne ne fonctionne pas
2023;12;1;221;74;M;MESS_RECUS_AUTRE_PRECISION_INSATISFAIT_KO6;pas très pratique ce système
