RDV;Quel est votre niveau de satisfaction global suite à ce rendez-vous ?;Avez-vous des remarques ou suggestions ?;;
physique;Assez satisfait;C'est mieux de  mettre une entrée pour les invalides , merci. De;;
physique;Très satisfait;Délai me semble long pour moi obtenir ma nouvelle carte vitale;;
physique;Peu satisfait;Que faire dites moi ! Je voudrais que cela marche;;
physique;Très satisfait;Dommage que nous devions prendre rdv pour pouvoir avoir les renseignements que l'on veut car sur Amélie on nous répond pas clairement à nos mails;;
physique;Très satisfait;Tout est parfait;;
physique;Très satisfait;Ras;;
physique;Très satisfait;très bon accueil, en confiance;;
physique;Très satisfait;Bonjour j’ai toujours pour ma part un contacte physique c’est plus facile pour moi j’y connais absolument rien en informatique je dois toujours dépendre de ma fille… et la personne qui m’a reçu à était très à l’écoute et patiente je la remercie beaucoup.. cordialement;;
physique;Assez satisfait;,rdv a Chauny alors que je reste à nauroy..45km de chez-moi.;;
physique;Très satisfait;Toujours à l écoute,aimable, bien renseigné.;;
physique;Peu satisfait;1) Serait-il possible d'envoyer les pièces justificatives de manière dématérialisée et non par courrier ? 2) Pourquoi le traitement des pièces est-il si compliqué quand on est multi-employeurs ?;;
physique;Assez satisfait;Aucune;;
physique;Assez satisfait;Il faut faciliter davantage les mots de passe qui sont assez difficiles à établir.;;
physique;Assez satisfait;le payement est un peut trop long;;
physique;Très satisfait;très satisfait  j'ai toujours ete bien reçu ,les RDV a l'heure l'accueil formidable;;
physique;Très satisfait;"Bonjour
L assurance maladie du val oise tout les agents et son tres bien je vous remercie";;
physique;Peu satisfait;je pensais, en allant à un RDV physique, avoir affaire à un être humain, j'ai fait face à un robot (bien programmé);;
physique;Assez satisfait;MANQUE DANS LE JURA DE MEDECIN CONSEILLE OBLIGE DE SE DEPLACER A DIJON;;
physique;Assez satisfait;Malgré sur le rdv doit sur Paris, il ne man pas été possible de bénéficier un rendez vous dans le centre de sécurité sociale prêt de mon domicile.;;
physique;Très satisfait;la personne au tel très agréable et à l'écoute pour bien répondre à mes attente merci;;
physique;Très satisfait;Non aucune bon accueil;;
physique;Assez satisfait;Oui j’ai deux remarques, la première, c’est la prise de rendez-vous. Il n’y a pas assez de disponibilité pour venir rapidement. La seconde c’est que le service invalidité n’existe plus là-bas et qu’il n’y ait pas d’Assistante Sociale;;
physique;Très satisfait;Non;;
physique;Très satisfait;Superbe accueil;;
physique;Très satisfait;non tres bien recu;;
physique;Très satisfait;"Incohérent : rdv téléphonique 
Questionnaire par rapport à un rdv physique ??? Je ne sais pas concerne";;
physique;Assez satisfait;Lors de l attente, il n y avait pas de siège pour s assoire. Certaines personnes attendaient dehors, au froid et intempéries. Dommage...;;
physique;Peu satisfait;Que le moment du rendez vous soit effectivement passé à traiter la problématique et non à nous indiquer où envoyer les papiers. L'agent du rdv était une plante verte. Ce n'est ni utile pour cette personne ni pour moi;;
physique;Pas du tout satisfait;aucune reponse apporte au dossier toujours la meme reponse attente;;
physique;Pas du tout satisfait;Une catastrophe vôtre agente !;;
physique;Peu satisfait;Le délai de traitement du dossier est très long;;
physique;Très satisfait;Non. J'attends de voir le bon déroulement du dossier. Cordialement.;;
physique;Assez satisfait;oui  sait  l assurance d Yvetot  qui n ai pas dans la liste ou on est très bien reçu;;
physique;Assez satisfait;"Ne pouvons pas entrer dans le centre cpam.
Nous avons dû attendre dehors l’heure du rendez-vous.
Avec un bébé pas top.";;
physique;Peu satisfait;Inutile;;
physique;Assez satisfait;Non;;
physique;Très satisfait;Aucunes les conseillés toujours aussi aimable ainsi que les walcomer a l'entrée du magasin. Parfait.;;
physique;Très satisfait;J'attends la réponse à ma demande, qui j'espère arrivera vite. L'agent a compris et effectué ma demande par internet de suite.;;
physique;Assez satisfait;Possibilité d’envoyer des mails via compte Ameli;;
physique;Très satisfait;La personne qui m'a reçu était très aimable et consciencieuse. Vérification de mon dossier;;
physique;Très satisfait;"Accueil agréable, maintenant  j attends  d avoir la réponse du dossier 
Cordialement";;
physique;Pas du tout satisfait;Merci de donner au agent la possibilité d'avoir plus de détails sur les dossiers  notamment le délai de traitement, préciser un état d'avancement dans ameli suivant le type de dossier avec la date et l'entité traitante;;
physique;Assez satisfait;8;;
physique;Très satisfait;Très bien pas d'attente et bien renseigné;;
physique;Très satisfait;Honnêtement j'ai pas de griefs pour ma caisse j'ai toujours été très bien reçu et je souhaite que cela continue;;
physique;Assez satisfait;"L'accueil physique n'est pas satisfaite dans toute les agences de l'assurance maladie, par contre à Paris10 il y a de la compétence et de professionnalisme.
Je comprends que les les assurés ne sont pas tous faciles,reste que l'administration doit toujours monter le bon relationnel.
Mon expérience ma permis de me conduire envers l'agence Paris 10 et je ne regrette pas.
Je leurs souhaite une bonne continuation et beaucoup de succès.";;
physique;Pas du tout satisfait;Suggestion: Que les conseillers soient vraiment des conseillers! comme le nom l'indique CONSEILs;;
physique;Pas du tout satisfait;Oui  je trouve ça  pas normal  qu ont  me demande  le contrat de travail   se pas normal  pour  seulement  une semaine  arrêt maladie;;
physique;Pas du tout satisfait;Lors de mon rdv téléphonique préalable à mon rdv sur site, on m’a demandé de re-imprimer toutes les pièces de mon dossier pour l’analyser sur place. Hors lors de ce rdv physique on m’a juste indiquer qu’ils avaient déjà reçu les documents et qu’il fallait attendre le traitement. Je me suis déplacée sur place pour rien et l’agent n’a pas pu me donner une attestation de cette situation qui m’était demandé par France Travail. A ce jour ma situation n’a pas évolué.;;
physique;Très satisfait;vous être tous et toutes très bienveillant.e.s;;
physique;Très satisfait;Quand j ai pris mon rdv avec amilie.fr il ny a pas comme proposition de raison de demander rdv donc j étais obligée de mentir au lieu de mise a jours mon rib j ai mis arrêt de travail . Heureusement ma conseillere a accepte quand je lui ai explique la raison  merci a elle .;;
physique;Assez satisfait;"Dommage pas le temps de faire la simulation pour la complémentaire santé 
Mais la demande est faite plus qu à attendre la réponse";;
physique;Pas du tout satisfait;La dame ne savait même pas trouver une solution elle préfère mettre une médiation , j’ai monté un dossier y’a un an pour un soin de dent à l’étranger suite à un déplacement famille, peut être j’ai mal remplie le formulaire vue que c’est ma première fois manquant ma signature, elle voulait même pas me montrer les originaux ( en disant que ce n’est pas son boulot de vérifier aux près des archives …) en somme une personne inaccessible, ferme et dûr même pas un sourire ou une expression agréable ou souriante , c’est triste que l’humanité arrive à ce stade;;
physique;Peu satisfait;Des rendez-vous plus rapidement;;
physique;Assez satisfait;bien apres mon rendez vous qui c'est tres bien passé avec l'hotesse j'aurais aimer que le traitement de mon dossier aurais etait fait rapidement mais apparament ca n'est pas le cas;;
physique;Très satisfait;Très heureuse du travail de la personne qui s'est occupée de moi;;
physique;Très satisfait;"Que les rdv soit plus simple a obtenir dans les annexes sachant que nous avons 1 h de route si on doit y aller sans rdv .
Merci d en tenir compte pour les personnes n ayant pas d informatique et de moyens de déplacement.
Cordialement";;
physique;Pas du tout satisfait;"Attente rdv 25 minutes et reçu par un monsieur très peu aimable, limite ennuyé par ma question, ayant démontré un désintérêt manifeste à ma demande, réponse évasive et sans aucun effort de vérification de mon dossier, j’ai dû perdre patience, car il s’adressait à moi comme si j’étais une illettrée, le rdv n’a duré que 3 minutes après avoir attendu 25 minutes et ce monsieur n’a même pas pris la peine de dire au revoir, ou se lever, il a simplement détourné la tête. Je peux vous assurer que je lui ai dit mon sentiment au sujet de son aptitude, il m’a répondu: est-ce que j’insinue qu’il est incompétent ? Je lui ai répondu qu’il était impoli et désagréable, et qu’il n’avait aucune envie visiblement de traiter mon problème.
Je regrette de devoir mettre un avis aussi négatif, cependant, vos services accueil des personnes malades souvent fragiles, ce genres d’aptitude peuvent entraîner un désarroi ou une réaction violente, c’est inadmissible d’être accueilli de cette manière à la CPAM.";;
physique;Très satisfait;Mr Moreau , l’agent qui m’a reçu a été très réactif;;
physique;Pas du tout satisfait;Mon dossier est pas traité.;;
physique;Très satisfait;"Tout dépends de l'interlocuteur. J'ai eu de la chance car elle était très professionnel mais j'ai fait d'autres rendez-vous avant elle sans aucune avancée sur mon dossier. Près de 5 mois pour avoir le renouvellement de ma complémentaire santé solidaire, c'est une aberration. 
Beaucoup de dysfonctionnement interne a régler";;
physique;Très satisfait;Je suis satisfait;;
physique;Très satisfait;Comme j'ai un rdv pour une piqûre à l'oeil le 4 avril. J'aurais aimé savoir quand exactement j'aurais le renouvellement afin de le repousser si nécessaire. Merci;;
physique;Assez satisfait;Mettre à disposition des informations sur l’arrêt maladie chez les généralistes.;;
physique;Assez satisfait;La complexité dû en emploi CESU;;
