Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Peu satisfait;Perte de salaire
Peu satisfait;Me rappeler rapidement,  pouvoir joindre et prendre rdv avec le médecin conseil sans passer par le 3646 , car ils sont incompétent et pas réactifs du tout
Assez satisfait;Pouvoir transmettre des documents par internet via mon compte sur le site (feuille de remboursement, documents administratifs...) comme il est possible de le faire avec ma Mutuelle ! Je ne comprends pas que cela ne soit pas possible.
Assez satisfait;Les traitements de dossier.
Assez satisfait;Si besoin, connaître une personne de la CPAM DANS SON BUREAU
Très satisfait;Actuellement je n'ai pas de suggestion à faire.
Assez satisfait;avoir des remboursements beaucoup plus rapides
Assez satisfait;lors d'appel téléphonique ne pas avoir autant d'attente!!!!!!!
Assez satisfait;suite à notre déménagement trouver un généraliste téférent
Assez satisfait;Savoir la suite donnée à mon information concernant le chgt de médecin que vous avez oublié d'enregistrer lors de la déclaration formulée par le dit médecin en 2017 .
Assez satisfait;Tout se passe sans intervention de ma part, je regarde juste lorsque j'ai des remboursements de frais multiples sur la même journée ce qui est réellement pris en compte et les actes qui seront remboursés plus tard. Donc pour conclure sur votre questionnaire je n'ai aucun problème, mais aucune demande personnelle. Donc les rouages de la télétransmission fonctionnent bien, difficile de juger autre chose sans demande précise
Très satisfait;UN ECHANGE TELEPHONIQUE NE REMPLACE PAS UN RENDEZ-VOUS EN PRESENTIEL.
Peu satisfait;Recevoir les gens sans rdv ou proposer des rdv tel ou sur place tout motif et pas seulement que pour certain motif et pour le reste on se débrouille !
Assez satisfait;probleme avec le code pour rentrer sur mon compte ameli
Très satisfait;Ça serait bien de pouvoir envoyer des mails
Très satisfait;C'est satisfaisant dans l'ensemble donc rien a améliorer
Peu satisfait;Être à jour dans c'est dossier pour pouvoir toucher c'est indemnités journalière en mi temps thérapeutique cela éviterais d avoir des retard pour payer c'est factures.Est quant un papier est pas bon aucune personne de la secu nous en informe ce qui provoque aussi des retard de payement. C'est nous qui sommes obliger  d appeler pour savoir le pourquoi que le règlement ce fait pas .Si nous étions informer cela éviter tout c'est retard et les difficultés financière que nous rencontrons .
Assez satisfait;Concernant les soins pédicures, j'ai droit à  5 par an sinon pas pris en compte ,je dois refaire u e ordonnance auprès  de mon médecin ! Il m'arrive d'être  sur Grenoble!
Très satisfait;Rendre possible la consultation du suivi des demandes d'accords en particulier (où en est le dossier ? arrivé, en traitement, ...)
Assez satisfait;je ne l/utilise pas beaucoup donc pour moi tout va bien
Assez satisfait;Plus d'accompagnement dans la sérénité des agents
Assez satisfait;Échanges de mails plus facilement,  transmission de documents aussi
Assez satisfait;Juste signaler que lors de l'ouverture de mon DMP, j'avais complété en temps réel toutes les informations. Néanmoins, il y a maintenant un autre système et je n'ai pas l'intention de tout recommencer...
Très satisfait;ACCES BEAUCOUP PLUS RAPIDE PAR TELEPHONNE CAR L' ATTENTE ET ENCORE ASSEZ LONGUE.
